cohort,selected,variable,missing_n,all_applicants
A2020,0,started_g6_private,11,583
A2020,0,started_g7_private,11,583
A2020,0,in_private_now,10,583
A2020,0,in_school_now,5,583
A2020,0,receiving_aid_now,4,583
A2020,0,years_in_school,4,583
A2020,1,started_g6_private,3,593
A2020,1,started_g7_private,3,593
A2020,1,in_private_now,3,593
A2020,1,in_school_now,2,593
A2020,1,receiving_aid_now,1,593
A2020,1,years_in_school,1,593
A2022,0,started_g6_private,2,131
A2022,0,started_g7_private,2,131
A2022,0,in_private_now,1,131
A2022,0,in_school_now,1,131
A2022,0,receiving_aid_now,2,131
A2022,0,years_in_school,2,131
A2022,1,started_g6_private,0,146
A2022,1,started_g7_private,0,146
A2022,1,in_private_now,1,146
A2022,1,in_school_now,0,146
A2022,1,receiving_aid_now,0,146
A2022,1,years_in_school,0,146
B2018,0,started_g6_private,1,74
B2018,0,started_g7_private,1,74
B2018,0,in_private_now,0,74
B2018,0,in_school_now,0,74
B2018,0,receiving_aid_now,0,74
B2018,0,years_in_school,0,74
B2018,1,started_g6_private,1,91
B2018,1,started_g7_private,1,91
B2018,1,in_private_now,3,91
B2018,1,in_school_now,3,91
B2018,1,receiving_aid_now,1,91
B2018,1,years_in_school,1,91
